Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Michael Kayode,DF,Brentford,36.2,56,39,47,e19660a8,1.5469613259668507,1.0773480662983426,1.298342541436464
Michael Keane,DF,Everton,28.8,1,37,24,c5b7c315,0.034722222222222224,1.284722222222222,0.8333333333333333
Milos Kerkez,DF,Liverpool,25.1,79,15,26,0ad53bdc,3.147410358565737,0.597609561752988,1.0358565737051793
Abdukodir Khusanov,DF,Manchester City,15.9,3,29,20,d17ce930,0.18867924528301885,1.8238993710691824,1.2578616352201257
Max Kilman,DF,West Ham,17.3,2,6,8,d0f72bf1,0.11560693641618497,0.3468208092485549,0.4624277456647399
Ibrahima Konaté,DF,Liverpool,34.3,3,28,31,5ed9b537,0.08746355685131196,0.8163265306122449,0.9037900874635569
Ezri Konsa,DF,Aston Villa,33.7,5,22,8,0313a347,0.14836795252225518,0.6528189910979227,0.2373887240356083
Maxence Lacroix,DF,Crystal Palace,34.3,5,45,38,277c49ed,0.1457725947521866,1.3119533527696794,1.1078717201166182
Matthijs de Ligt,DF,Manchester Utd,13.0,4,11,13,d6e53a3a,0.3076923076923077,0.8461538461538461,1.0
Tino Livramento,DF,Newcastle,14.8,36,2,14,afed6722,2.4324324324324325,0.13513513513513511,0.9459459459459459
Ian Maatsen,DF,Aston Villa,17.8,54,18,31,cab9634e,3.033707865168539,1.0112359550561798,1.7415730337078652
Gabriel Magalhães,DF,Arsenal,30.6,6,22,20,67ac5bb8,0.19607843137254902,0.7189542483660131,0.6535947712418301
Harry Maguire,DF,Manchester Utd,18.4,4,12,17,d8931174,0.2173913043478261,0.6521739130434783,0.923913043478261
Reinildo Mandava,DF,Sunderland,21.8,23,29,23,c20bdcd7,1.055045871559633,1.3302752293577982,1.055045871559633
Lisandro Martínez,DF,Manchester Utd,13.7,2,12,11,bac46a10,0.14598540145985403,0.8759124087591241,0.8029197080291971
Konstantinos Mavropanos,DF,West Ham,28.2,4,47,24,00963611,0.14184397163120568,1.6666666666666667,0.851063829787234
Nikola Milenković,DF,Nottingham,37.5,2,29,19,bee704fc,0.05333333333333334,0.7733333333333333,0.5066666666666667
Tyrone Mings,DF,Aston Villa,14.7,4,11,2,8397a50c,0.272108843537415,0.7482993197278912,0.1360544217687075
Morato,DF,Nottingham,14.9,2,11,18,0f41e2ee,0.1342281879194631,0.7382550335570469,1.2080536912751678
Cristhian Mosquera,DF,Arsenal,11.0,3,8,21,dc1ce4f5,0.2727272727272727,0.7272727272727273,1.9090909090909092
Yerson Mosquera,DF,Wolves,23.7,18,25,36,1e159d70,0.759493670886076,1.0548523206751055,1.518987341772152
Nordi Mukiele,DF,Sunderland,30.9,85,37,45,ac73ec79,2.750809061488673,1.197411003236246,1.4563106796116505
Murillo,DF,Nottingham,23.7,2,29,23,1704b0b8,0.08438818565400844,1.2236286919831223,0.9704641350210971
Vitaliy Mykolenko,DF,Everton,32.9,93,27,25,30d4a2e5,2.8267477203647418,0.8206686930091186,0.7598784194528876
Matheus Nunes,DF,Manchester City,31.8,67,29,41,e6af02e0,2.1069182389937104,0.9119496855345912,1.2893081761006289
Jake O'Brien,DF,Everton,34.7,49,13,32,25f2ef01,1.4121037463976944,0.37463976945244953,0.9221902017291066
Luke O'Nien,DF,Sunderland,6.3,7,6,6,8092d497,1.1111111111111112,0.9523809523809524,0.9523809523809524
Pedro Porro,DF,Tottenham,31.1,232,31,50,27d0a506,7.459807073954984,0.9967845659163986,1.607717041800643
Chadi Riad,DF,Crystal Palace,6.1,6,4,5,b3b9b8b8,0.9836065573770493,0.6557377049180328,0.819672131147541
Chris Richards,DF,Crystal Palace,31.4,14,43,35,0a3d6d2b,0.445859872611465,1.3694267515923568,1.1146496815286624
Andy Robertson,DF,Liverpool,13.1,53,7,10,2e4f5f03,4.0458015267175576,0.5343511450381679,0.7633587786259542
Joe Rodon,DF,Leeds United,32.8,6,30,19,8d62d31a,0.1829268292682927,0.9146341463414634,0.5792682926829269
Cristian Romero,DF,Tottenham,20.8,1,31,30,a3d94a58,0.04807692307692307,1.4903846153846154,1.4423076923076923
William Saliba,DF,Arsenal,29.0,9,15,23,972aeb2a,0.3103448275862069,0.5172413793103449,0.7931034482758621
Nicolò Savona,DF,Nottingham,11.4,27,5,12,e041497d,2.3684210526315788,0.43859649122807015,1.0526315789473684
Fabian Schär,DF,Newcastle,12.1,4,16,9,c8aa95da,0.3305785123966942,1.322314049586777,0.7438016528925621
Marcos Senesi,DF,Bournemouth,36.5,28,50,34,35141f4c,0.7671232876712328,1.36986301369863,0.9315068493150684
Luke Shaw,DF,Manchester Utd,35.8,54,43,45,9c94165b,1.5083798882681565,1.2011173184357542,1.2569832402234637
Adam Smith,DF,Bournemouth,12.0,13,10,12,20b104bc,1.0833333333333333,0.8333333333333334,1.0
Pascal Struijk,DF,Leeds United,32.6,2,32,22,f4d296e4,0.06134969325153374,0.9815950920245399,0.6748466257668712
James Tarkowski,DF,Everton,37.0,7,29,30,15ea812b,0.1891891891891892,0.7837837837837838,0.8108108108108109
Kenny Tete,DF,Fulham,19.9,34,26,38,77d7c96f,1.7085427135678393,1.306532663316583,1.9095477386934674
Malick Thiaw,DF,Newcastle,32.9,9,30,34,ff5ea0bf,0.27355623100303955,0.9118541033434651,1.033434650455927
Jurriën Timber,DF,Arsenal,27.3,46,24,35,41034650,1.684981684981685,0.8791208791208791,1.282051282051282
Jean-Clair Todibo,DF,West Ham,20.2,2,16,24,88f130ed,0.09900990099009901,0.7920792079207921,1.188118811881188
Pau Torres,DF,Aston Villa,18.6,4,11,14,532e1e4f,0.2150537634408602,0.5913978494623655,0.7526881720430108
Kieran Trippier,DF,Newcastle,17.6,96,7,13,21512407,5.454545454545454,0.3977272727272727,0.7386363636363635
Adrien Truffert,DF,Bournemouth,37.5,142,43,51,5d0e0a1f,3.7866666666666666,1.1466666666666667,1.36
Axel Tuanzebe,DF,Burnley,13.3,1,12,8,2baec6ce,0.07518796992481203,0.9022556390977443,0.6015037593984962
Virgil van Dijk,DF,Liverpool,38.0,1,26,15,e06683ca,0.02631578947368421,0.6842105263157895,0.39473684210526316
Joël Veltman,DF,Brighton,11.8,18,19,17,dad4b285,1.5254237288135593,1.6101694915254237,1.4406779661016949
Micky van de Ven,DF,Tottenham,33.8,3,21,20,8fe2a392,0.08875739644970415,0.6213017751479291,0.591715976331361
Kyle Walker-Peters,DF,West Ham,15.4,20,9,30,984a5a64,1.2987012987012987,0.5844155844155844,1.948051948051948
Ben White,DF,Arsenal,7.8,16,9,9,35e413f1,2.0512820512820515,1.153846153846154,1.153846153846154
Mats Wieffer,DF,Brighton,21.1,17,24,43,4876c9ab,0.8056872037914692,1.1374407582938388,2.037914691943128
Neco Williams,DF,Nottingham,35.6,143,46,61,dd323728,4.01685393258427,1.2921348314606742,1.7134831460674156
Joe Worrall,DF,Burnley,5.6,0,6,2,a5212312,0.0,1.0714285714285714,0.35714285714285715
Leny Yoro,DF,Manchester Utd,19.3,3,31,20,6763f716,0.15544041450777202,1.6062176165803108,1.0362694300518134
