Player,PlayerID,Squad,position,90s,Crs,Int,TklW,Crs_per90,Int_per90,TklW_per90,Crs_percentile,Int_percentile,TklW_percentile,Crs_median,Int_median,TklW_median
Pedro Porro,27d0a506,Tottenham,Right-Back,31.1,232,31,50,7.459807073954984,0.9967845659163986,1.607717041800643,100.0,49.25373134328358,80.59701492537313,2.233009708737864,1.0091743119266054,1.262135922330097
Hugo Bueno,bfc3b3a0,Wolves,Left-Back,26.3,166,33,35,6.311787072243346,1.254752851711027,1.3307984790874523,98.50746268656717,80.59701492537313,59.70149253731343,2.233009708737864,1.0091743119266054,1.262135922330097
Reece James,1265a93a,Chelsea,Right-Back,21.8,126,32,33,5.779816513761467,1.4678899082568806,1.5137614678899085,97.01492537313433,89.55223880597015,77.61194029850746,2.233009708737864,1.0091743119266054,1.262135922330097
Kieran Trippier,21512407,Newcastle,Right-Back,17.6,96,7,13,5.454545454545454,0.3977272727272727,0.7386363636363635,95.52238805970148,4.477611940298507,8.955223880597014,2.233009708737864,1.0091743119266054,1.262135922330097
Lucas Digne,1b84dbe1,Aston Villa,Left-Back,20.6,108,13,26,5.242718446601941,0.6310679611650485,1.262135922330097,94.02985074626866,17.91044776119403,50.74626865671642,2.233009708737864,1.0091743119266054,1.262135922330097
Maxim De Cuyper,d494882e,Brighton,Left-Back,15.7,77,11,10,4.904458598726115,0.7006369426751593,0.6369426751592357,92.53731343283582,26.865671641791046,5.970149253731343,2.233009708737864,1.0091743119266054,1.262135922330097
Oliver Scarles,242e5e6d,West Ham,Left-Back,7.3,35,13,19,4.794520547945206,1.7808219178082192,2.602739726027397,91.04477611940298,100.0,100.0,2.233009708737864,1.0091743119266054,1.262135922330097
Antonee Robinson,289601e6,Fulham,Left-Back,16.6,77,28,31,4.63855421686747,1.686746987951807,1.867469879518072,89.55223880597015,97.01492537313433,92.53731343283582,2.233009708737864,1.0091743119266054,1.262135922330097
Jeremie Frimpong,74f2e748,Liverpool,Right-Back,11.6,51,6,9,4.396551724137932,0.5172413793103449,0.7758620689655172,88.05970149253731,10.44776119402985,14.925373134328357,2.233009708737864,1.0091743119266054,1.262135922330097
Jackson Tchatchoua,aeca7743,Wolves,Right-Back,20.5,90,14,15,4.390243902439025,0.6829268292682927,0.7317073170731707,86.56716417910447,23.88059701492537,7.462686567164178,2.233009708737864,1.0091743119266054,1.262135922330097
Lewis Hall,da011f18,Newcastle,Left-Back,24.2,102,29,31,4.214876033057851,1.1983471074380163,1.28099173553719,85.07462686567165,73.13432835820896,52.23880597014925,2.233009708737864,1.0091743119266054,1.262135922330097
Andy Robertson,2e4f5f03,Liverpool,Left-Back,13.1,53,7,10,4.0458015267175576,0.5343511450381679,0.7633587786259542,83.5820895522388,11.940298507462686,13.432835820895523,2.233009708737864,1.0091743119266054,1.262135922330097
Neco Williams,dd323728,Nottingham,Left-Back,35.6,143,46,61,4.01685393258427,1.2921348314606742,1.7134831460674156,82.08955223880598,82.08955223880598,83.5820895522388,2.233009708737864,1.0091743119266054,1.262135922330097
Matty Cash,2389cdc2,Aston Villa,Right-Back,33.5,131,24,32,3.91044776119403,0.7164179104477612,0.9552238805970148,80.59701492537313,28.35820895522388,25.37313432835821,2.233009708737864,1.0091743119266054,1.262135922330097
Adrien Truffert,5d0e0a1f,Bournemouth,Left-Back,37.5,142,43,51,3.786666666666666,1.1466666666666667,1.36,79.1044776119403,65.67164179104478,62.68656716417911,2.233009708737864,1.0091743119266054,1.262135922330097
Quilindschy Hartman,39e1138f,Burnley,Left-Back,20.3,74,32,31,3.645320197044335,1.5763546798029555,1.5270935960591132,77.61194029850746,92.53731343283582,79.1044776119403,2.233009708737864,1.0091743119266054,1.262135922330097
El Hadji Malick Diouf,bd5eb2e5,West Ham,Left-Back,30.1,109,32,19,3.6212624584717608,1.0631229235880395,0.6312292358803986,76.11940298507463,58.2089552238806,2.9850746268656714,2.233009708737864,1.0091743119266054,1.262135922330097
Milos Kerkez,0ad53bdc,Liverpool,Left-Back,25.1,79,15,26,3.147410358565737,0.597609561752988,1.0358565737051793,74.6268656716418,14.925373134328357,31.343283582089555,2.233009708737864,1.0091743119266054,1.262135922330097
Ferdi Kadioglu,66c52a77,Brighton,Left-Back,34.8,109,25,39,3.132183908045977,0.7183908045977012,1.120689655172414,73.13432835820896,29.850746268656714,40.298507462686565,2.233009708737864,1.0091743119266054,1.262135922330097
Ian Maatsen,cab9634e,Aston Villa,Left-Back,17.8,54,18,31,3.033707865168539,1.0112359550561798,1.7415730337078652,71.64179104477611,52.23880597014925,85.07462686567165,2.233009708737864,1.0091743119266054,1.262135922330097
Gabriel Gudmundsson,d5d22a58,Leeds United,Left-Back,29.2,88,28,47,3.0136986301369864,0.9589041095890412,1.6095890410958904,70.1492537313433,46.26865671641791,82.08955223880598,2.233009708737864,1.0091743119266054,1.262135922330097
Tyrick Mitchell,5cbd1eb0,Crystal Palace,Left-Back,36.1,104,33,65,2.880886426592798,0.9141274238227146,1.8005540166204983,68.65671641791045,43.28358208955223,89.55223880597015,2.233009708737864,1.0091743119266054,1.262135922330097
Vitaliy Mykolenko,30d4a2e5,Everton,Left-Back,32.9,93,27,25,2.8267477203647418,0.8206686930091186,0.7598784194528876,67.16417910447761,34.32835820895522,11.940298507462686,2.233009708737864,1.0091743119266054,1.262135922330097
Nordi Mukiele,ac73ec79,Sunderland,Right-Back,30.9,85,37,45,2.750809061488673,1.197411003236246,1.4563106796116505,65.67164179104478,71.64179104477611,73.88059701492537,2.233009708737864,1.0091743119266054,1.262135922330097
David Møller Wolfe,9affc5f2,Wolves,Left-Back,11.7,32,7,5,2.735042735042735,0.5982905982905983,0.4273504273504274,64.17910447761194,16.417910447761194,1.4925373134328357,2.233009708737864,1.0091743119266054,1.262135922330097
Ryan Sessegnon,6aa3e78b,Fulham,Left-Back,20.3,55,23,29,2.70935960591133,1.1330049261083743,1.4285714285714286,62.68656716417911,62.68656716417911,70.1492537313433,2.233009708737864,1.0091743119266054,1.262135922330097
Trai Hume,4fa3a3a4,Sunderland,Right-Back,33.7,88,25,46,2.611275964391691,0.7418397626112759,1.3649851632047476,61.19402985074627,31.343283582089555,65.67164179104478,2.233009708737864,1.0091743119266054,1.262135922330097
Tino Livramento,afed6722,Newcastle,Right-Back,14.8,36,2,14,2.4324324324324325,0.1351351351351351,0.945945945945946,59.70149253731343,1.4925373134328357,23.88059701492537,2.233009708737864,1.0091743119266054,1.262135922330097
