Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Brian Brobbey,FW,Sunderland,21.4,2,0,2,4c184730,0.09345794392523366,0.0,0.09345794392523366
Armando Broja,FW,Burnley,9.6,3,3,3,97220da2,0.3125,0.3125,0.3125
David Brooks,MF,Bournemouth,13.4,59,4,13,dc4cae05,4.402985074626866,0.29850746268656714,0.9701492537313433
Jacob Bruun Larsen,MFFW,Burnley,11.4,42,6,3,4e204552,3.6842105263157894,0.5263157894736842,0.2631578947368421
Emi Buendía,MF,Aston Villa,19.5,10,13,27,66b76d44,0.5128205128205128,0.6666666666666666,1.3846153846153846
Hugo Bueno,MFDF,Wolves,26.3,166,33,35,bfc3b3a0,6.311787072243346,1.2547528517110267,1.3307984790874525
Santiago Bueno,DF,Wolves,28.4,6,27,30,edc98fac,0.21126760563380284,0.9507042253521127,1.0563380281690142
Dan Burn,DF,Newcastle,24.4,14,20,26,b2d31e83,0.5737704918032788,0.819672131147541,1.0655737704918034
Moisés Caicedo,MF,Chelsea,31.1,8,59,47,16264a81,0.2572347266881029,1.8971061093247588,1.5112540192926045
Tom Cairney,MF,Fulham,8.6,6,4,4,a8748947,0.6976744186046512,0.46511627906976744,0.46511627906976744
Riccardo Calafiori,DF,Arsenal,18.9,21,13,19,aded8e6f,1.1111111111111112,0.6878306878306879,1.0052910052910053
Dominic Calvert-Lewin,FW,Leeds United,30.2,9,5,4,59e6e5bf,0.2980132450331126,0.16556291390728478,0.13245033112582782
Jaydee Canvot,DF,Crystal Palace,14.8,5,12,22,3684108d,0.33783783783783783,0.8108108108108107,1.4864864864864864
Casemiro,MF,Manchester Utd,28.6,19,30,45,4d224fe8,0.6643356643356643,1.048951048951049,1.5734265734265733
Matty Cash,DF,Aston Villa,33.5,131,24,32,2389cdc2,3.91044776119403,0.7164179104477612,0.9552238805970149
Timothy Castagne,DFMF,Fulham,20.5,48,28,24,197640fd,2.341463414634146,1.3658536585365855,1.170731707317073
Valentín Castellanos,FW,West Ham,15.4,9,6,9,da76bab4,0.5844155844155844,0.38961038961038963,0.5844155844155844
Trevoh Chalobah,DF,Chelsea,30.9,5,37,22,5515376c,0.16181229773462785,1.197411003236246,0.7119741100323624
Rayan Cherki,MF,Manchester City,19.8,80,7,16,b34c63a5,4.040404040404041,0.35353535353535354,0.8080808080808081
Ryan Christie,MF,Bournemouth,11.0,17,11,20,26ce2263,1.5454545454545454,1.0,1.8181818181818181
Samuel Chukwueze,MF,Fulham,12.0,43,6,4,b8a642fc,3.5833333333333335,0.5,0.3333333333333333
Nathaniel Clyne,MFDF,Crystal Palace,6.6,15,7,9,0442183b,2.272727272727273,1.0606060606060606,1.3636363636363638
Nathan Collins,DF,Brentford,33.1,1,36,13,a8c19eb8,0.030211480362537763,1.0876132930513596,0.39274924471299094
Lewis Cook,MFDF,Bournemouth,9.7,44,21,17,2afc7272,4.536082474226805,2.1649484536082477,1.752577319587629
Marc Cucurella,DF,Chelsea,30.1,41,28,40,1daec722,1.3621262458471761,0.9302325581395349,1.3289036544850499
Jorge Cuenca,DF,Fulham,10.4,2,15,10,0abc51f2,0.1923076923076923,1.4423076923076923,0.9615384615384615
Josh Cullen,MF,Burnley,16.8,12,24,19,f6d7d690,0.7142857142857143,1.4285714285714286,1.130952380952381
Jair Cunha,DF,Nottingham,5.7,2,5,5,ac31d35e,0.3508771929824561,0.8771929824561403,0.8771929824561403
Matheus Cunha,MFFW,Manchester Utd,27.7,49,21,23,dc62b55d,1.7689530685920578,0.7581227436823105,0.8303249097472925
Diogo Dalot,DFMF,Manchester Utd,29.0,57,26,30,d9565625,1.9655172413793103,0.896551724137931,1.0344827586206897
Mikkel Damsgaard,MF,Brentford,22.8,95,24,34,215f3907,4.166666666666667,1.0526315789473684,1.4912280701754386
Kevin Danso,DF,Tottenham,16.6,7,25,13,6e33125f,0.4216867469879518,1.506024096385542,0.7831325301204819
Karl Darlow,GK,Leeds United,22.0,0,0,0,cde3309f,0.0,0.0,0.0
Maxim De Cuyper,DFMF,Brighton,15.7,77,11,10,d494882e,4.904458598726115,0.7006369426751593,0.6369426751592357
Liam Delap,FW,Chelsea,12.3,6,1,3,dd897ee7,0.4878048780487805,0.08130081300813008,0.24390243902439024
Sepp van den Berg,DF,Brentford,30.7,0,26,9,7bf9400b,0.0,0.8469055374592834,0.2931596091205212
Justin Devenny,MFFW,Crystal Palace,8.8,17,1,11,6c2b66fc,1.9318181818181817,0.11363636363636363,1.25
Kiernan Dewsbury-Hall,MF,Everton,29.2,112,14,26,5c74c0f5,3.8356164383561646,0.4794520547945206,0.8904109589041096
Bafodé Diakité,DF,Bournemouth,14.2,1,10,15,1bfb6fef,0.07042253521126761,0.7042253521126761,1.0563380281690142
Amad Diallo,MF,Manchester Utd,26.0,46,15,23,9dc96f10,1.7692307692307692,0.5769230769230769,0.8846153846153846
Habib Diarra,MF,Sunderland,15.6,32,4,7,6d0fe035,2.0512820512820515,0.25641025641025644,0.44871794871794873
Rúben Dias,DF,Manchester City,23.8,9,23,6,31c69ef1,0.37815126050420167,0.9663865546218487,0.25210084033613445
Lucas Digne,DF,Aston Villa,20.6,108,13,26,1b84dbe1,5.242718446601941,0.6310679611650485,1.262135922330097
Issa Diop,DF,Fulham,9.1,1,6,2,a712ca2b,0.10989010989010989,0.6593406593406593,0.21978021978021978
El Hadji Malick Diouf,DFMF,West Ham,30.1,109,32,19,bd5eb2e5,3.6212624584717608,1.0631229235880397,0.6312292358803986
Axel Disasi,DF,West Ham,13.9,0,12,10,ad82197c,0.0,0.8633093525179856,0.7194244604316546
Matt Doherty,DFMF,Wolves,8.7,8,7,8,d557d734,0.9195402298850576,0.8045977011494253,0.9195402298850576
